id,alias,name,image_url,is_closed,url,review_count,categories/0/alias,categories/0/title,rating,coordinates/latitude,coordinates/longitude,transactions/0,transactions/1,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,phone,display_phone,distance,categories/1/alias,categories/1/title,transactions/2,price,categories/2/alias,categories/2/title,location/display_address/2,location/display_address/3
XsXLVWr1UZWVhKThNvNiaA,blue-willow-夜来湘-new-york-2,Blue Willow 夜来湘,https://s3-media2.fl.yelpcdn.com/bphoto/1E59vOqmXZHBlJe0lLBHtA/o.jpg,false,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,973,szechuan,Szechuan,4.5,40.76292,-73.976546,delivery,pickup,40 W 56th St,,,New York,10019,US,NY,40 W 56th St,"New York, NY 10019",+12122132299,(212) 213-2299,348.0137568924224,,,,,,,,
BNaveJmi-OUGKG9sRfrIhA,mr-sun-new-york,Mr. Sun,https://s3-media2.fl.yelpcdn.com/bphoto/jswYzFLbD07Xk8dR81_mIA/o.jpg,false,https://www.yelp.com/biz/mr-sun-new-york?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,251,dimsum,Dim Sum,4.5,40.75809,-73.98026,delivery,restaurant_reservation,48 W 48th St,,,New York,10036,US,NY,48 W 48th St,"New York, NY 10036",+17183169811,(718) 316-9811,294.7943077003694,seafood,Seafood,pickup,$$,,,,
0CjK3esfpFcxIopebzjFxA,joes-shanghai-new-york-2,Joe's Shanghai,https://s3-media1.fl.yelpcdn.com/bphoto/gkp9bzPqrcaWIvgOJbatQw/o.jpg,false,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,7240,shanghainese,Shanghainese,4,40.7156608,-73.9967012,delivery,pickup,46 Bowery St,,,New York,10013,US,NY,46 Bowery St,"New York, NY 10013",+12122338888,(212) 233-8888,5186.084789776587,seafood,Seafood,,$$,noodles,Noodles,,
bVkjBJlAIwKAj9Aw1KVWjA,dim-sum-palace-new-york-8,Dim Sum Palace,https://s3-media4.fl.yelpcdn.com/bphoto/5Dg8lWgTRJ0kIyv5jfqOnw/o.jpg,false,https://www.yelp.com/biz/dim-sum-palace-new-york-8?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,1717,dimsum,Dim Sum,4,40.76015,-73.9893699,delivery,pickup,334 W 46th St,,,New York,10036,US,NY,334 W 46th St,"New York, NY 10036",+16468611910,(646) 861-1910,913.3425917326555,cantonese,Cantonese,,$$,,,,
h0pRCiJDrCN7tm3VX5tILQ,chili-new-york,CHILI,https://s3-media2.fl.yelpcdn.com/bphoto/kXEGv1n69TKeZuvkQxyKGw/o.jpg,false,https://www.yelp.com/biz/chili-new-york?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,704,szechuan,Szechuan,4.5,40.75002,-73.98215,delivery,pickup,13 E 37th St,,,New York,10016,US,NY,13 E 37th St,"New York, NY 10016",+16468820666,(646) 882-0666,1163.9244903415918,dimsum,Dim Sum,,$$,cocktailbars,Cocktail Bars,,
iXH9H75idkSB-Eudo5ABhg,tang-by-mr-sun-new-york,Tang By Mr. Sun,https://s3-media2.fl.yelpcdn.com/bphoto/qTVtuXOy6Poq72uFgNEI1w/o.jpg,false,https://www.yelp.com/biz/tang-by-mr-sun-new-york?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,18,asianfusion,Asian Fusion,4.5,40.77614,-73.95616,restaurant_reservation,,1442 3rd Ave,,,New York,10028,US,NY,1442 3rd Ave,"New York, NY 10028",+16465902910,(646) 590-2910,2581.958366535786,,,,,,,,
83zDAk03lFXkgImgkLhT9w,chi-restaurant-and-bar-new-york,Chi Restaurant & Bar,https://s3-media4.fl.yelpcdn.com/bphoto/i88DTquqvXDMHv6tryKwqQ/o.jpg,false,https://www.yelp.com/biz/chi-restaurant-and-bar-new-york?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,91,bars,Bars,4.5,40.75547,-73.99439,delivery,restaurant_reservation,492 9th Ave,,,New York,10018,US,NY,492 9th Ave,"New York, NY 10018",+12129181470,(212) 918-1470,1445.4839385183982,szechuan,Szechuan,pickup,,,,,
sRWRA4dcN_NR1JGpuRVouA,nan-xiang-xiao-long-bao-manhattan-new-york,Nan Xiang Xiao Long Bao - Manhattan,https://s3-media3.fl.yelpcdn.com/bphoto/lmcpkjW6fo_uJqBnxxqk4w/o.jpg,false,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-manhattan-new-york?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,740,dimsum,Dim Sum,4.5,40.74822527534694,-73.9857786,,,24 W 33rd St,,,New York,10001,US,NY,24 W 33rd St,"New York, NY 10001",+12129703888,(212) 970-3888,1467.387113754276,desserts,Desserts,,$$,noodles,Noodles,,
GuzlMBKNoClNx5I1-x-DDg,53-nyc-new-york,53 NYC,https://s3-media3.fl.yelpcdn.com/bphoto/NtAcdqUTunURwtVNm0ULIA/o.jpg,false,https://www.yelp.com/biz/53-nyc-new-york?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,114,asianfusion,Asian Fusion,4,40.76179318437133,-73.9780863,,,53 W 53rd St,,,New York,10019,US,NY,53 W 53rd St,"New York, NY 10019",+16465353994,(646) 535-3994,178.92730813115645,bars,Bars,,$$$$,seafood,Seafood,,
xq0cX_DgxiJMXwhmEl9kUA,café-china-new-york-2,Café China,https://s3-media1.fl.yelpcdn.com/bphoto/UhHqxEX2epOvrBFI2pgRzg/o.jpg,false,https://www.yelp.com/biz/caf%C3%A9-china-new-york-2?adjust_creative=UAQFie-irr78aRMGejTH0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAQFie-irr78aRMGejTH0w,1921,szechuan,Szechuan,4,40.751587,-73.985815,delivery,pickup,59 W 37th St,,,New York,10018,US,NY,59 W 37th St,"New York, NY 10018",+12122132810,(212) 213-2810,1118.7690144757516,,,,$$,,,,
