Business ID,Name,Address,Coordinates/Latitude,Coordinates/Longitude,Number of Reviews,Rating,Zip Code,CuisineType/S,InsertedAtTimestamp/N
DGhWO1sUWydVeR5j5ZZaMw,La Grande Boucherie,145 W 53rd St,40.7626274,-73.9808411,2522,4.5,10019,french,1697590707
11Nbr2oTRB5Uqi36L8if8g,The Consulate - Midtown,44 W 56th St,40.76309,-73.97661,56,4.5,10019,french,1697590707
ETgJqJHV7BW6pIr9Ox74sA,Amélie,22 W 8th St,40.7327,-73.99766,2917,4.5,10011,french,1697590707
vRrVSB-LegwUwIxpkeRVtQ,Le Bernardin,155 W 51st St,40.761557,-73.981763,2936,4.5,10019,french,1697590707
NMVRHrkdp68twl4CWo1I5A,Marseille,630 9th Ave,40.75994987,-73.99142128,1157,4,10036,french,1697590707
8XHbZIKDQbXhyKIGiukVeQ,Boucherie Union Square,225 Park Ave S,40.73725825,-73.98822527,1432,4.5,10003,french,1697590707
FiRB9Ek3Xo9JHwXgBYITYg,La Sirene,558 Broome St,40.72436422,-74.00570869,1711,4.5,10013,french,1697590707
csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,163 East 33rd St,40.74540793,-73.97914783,1055,4,10016,french,1697590707
KgpOYAG-r_eDsQXFXt0nnQ,Balthazar,80 Spring St,40.722675,-73.998285,3637,4,10012,french,1697590707
m9zYRZFubncaWsQFIfNo5g,Loulou Petit Bistro & Speakeasy,176 8th Ave,40.74262709,-74.00005777,535,4,10011,french,1697590707
xQ445GaWVN5Aa3sFX9OoIg,Buvette,42 Grove St,40.732704,-74.00434641,2167,4,10014,french,1697590707
s3jou_L_LVYGkNHiuhjlew,Boucherie West Village,99 7th Ave S,40.73309439,-74.0028772,2292,4.5,10014,french,1697590707
bTyyPU8A4pz9dieLSZPMdA,Le Rivage,340 W 46th St,40.760238,-73.98959,597,4,10036,french,1697590707
RQojRzAYA9Cq87PqwQq5yg,Deux Amis,356 E 51st St,40.7544765,-73.9660238,222,4,10022,french,1697590707
ZaOuOIDlfqvhzUGvOFY4kQ,Supper Club by Le Petit Parisien,355 E 78th St,40.77197477,-73.95353509,3,5,10075,french,1697590707
gtXP0CmOnBbgfnff7VXa7A,Pastis,52 Gansevoort St,40.739245,-74.006992,524,4,10014,french,1697590707
7flJeg5Tnc06cQQ7jnBtxg,Barnea Bistro,211 E 46th St,40.75314,-73.97179,66,4.5,10017,french,1697590707
4yZzQKtaPJxSAxNUO20JcA,Mino Brasserie,225 W 12th St,40.7377938,-74.0016243,76,4.5,10011,french,1697590707
3zbz9kLrLKHCBeGrNhMMGA,L'Accolade,302 Bleecker St,40.732484,-74.003915,160,4.5,10014,french,1697590707
K_RLEEEkMmlis5hteYlYUQ,Majorelle,28 E 63rd St,40.7657132,-73.9692137,92,4.5,10065,french,1697590707
